NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.1	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.1		82	-0.74570775	-2.5060418	0.0	0.0	0.0	1192	tags=48%, list=8%, signal=51%	
MITOTIC METAPHASE AND ANAPHASE%REACTOME DATABASE ID RELEASE 61%2555396	MITOTIC METAPHASE AND ANAPHASE%REACTOME DATABASE ID RELEASE 61%2555396		170	-0.65990967	-2.4975286	0.0	0.0	0.0	3009	tags=52%, list=20%, signal=65%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590		74	-0.73620147	-2.4954598	0.0	0.0	0.0	2155	tags=59%, list=14%, signal=69%	
REGULATION OF DNA REPLICATION%REACTOME DATABASE ID RELEASE 61%69304	REGULATION OF DNA REPLICATION%REACTOME DATABASE ID RELEASE 61%69304		68	-0.743889	-2.4934075	0.0	0.0	0.0	2113	tags=59%, list=14%, signal=68%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478		158	-0.6516871	-2.4915447	0.0	0.0	0.0	1752	tags=42%, list=12%, signal=47%	
SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 61%2467813	SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 61%2467813		161	-0.6606888	-2.4890707	0.0	0.0	0.0	3350	tags=56%, list=22%, signal=71%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884		162	-0.652337	-2.4865189	0.0	0.0	0.0	1752	tags=41%, list=12%, signal=46%	
HALLMARK_MYC_TARGETS_V1%MSIGDB_C2%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDB_C2%HALLMARK_MYC_TARGETS_V1		194	-0.64893836	-2.484112	0.0	0.0	0.0	3587	tags=54%, list=24%, signal=70%	
APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME DATABASE ID RELEASE 61%174178	APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME DATABASE ID RELEASE 61%174178		69	-0.7377341	-2.479153	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=60%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION		197	-0.651619	-2.4791214	0.0	0.0	0.0	3164	tags=56%, list=21%, signal=70%	
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.2	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.2		77	-0.7354247	-2.4769866	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=62%	
POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN REGULATION OF MITOTIC CELL CYCLE TRANSITION%GOBP%GO:0051437	POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN REGULATION OF MITOTIC CELL CYCLE TRANSITION%GOBP%GO:0051437		73	-0.73230386	-2.475683	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=60%	
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 61%69206	G1 S TRANSITION%REACTOME DATABASE ID RELEASE 61%69206		121	-0.6739477	-2.4689674	0.0	0.0	0.0	2495	tags=53%, list=16%, signal=63%	
REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000058	REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000058		95	-0.7005935	-2.467694	0.0	0.0	0.0	2113	tags=42%, list=14%, signal=49%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002		167	-0.6375485	-2.4645374	0.0	0.0	0.0	1752	tags=40%, list=12%, signal=44%	
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1	THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1		143	-0.65638524	-2.4642732	0.0	0.0	0.0	3003	tags=59%, list=20%, signal=73%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479		71	-0.7343536	-2.4640143	0.0	0.0	0.0	2155	tags=59%, list=14%, signal=69%	
G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 61%69481	G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 61%69481		140	-0.664301	-2.464004	0.0	0.0	0.0	3205	tags=56%, list=21%, signal=71%	
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GOBP%GO:0051436	NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GOBP%GO:0051436		70	-0.74599516	-2.463263	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=64%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3		84	-0.718862	-2.462348	0.0	0.0	0.0	2991	tags=71%, list=20%, signal=88%	
POSITIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904668	POSITIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904668		79	-0.71610177	-2.4618778	0.0	0.0	0.0	2113	tags=49%, list=14%, signal=57%	
REMOVAL OF LICENSING FACTORS FROM ORIGINS%REACTOME%R-HSA-69300.2	REMOVAL OF LICENSING FACTORS FROM ORIGINS%REACTOME%R-HSA-69300.2		65	-0.7403332	-2.461343	0.0	0.0	0.0	2113	tags=58%, list=14%, signal=68%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		64	-0.7406915	-2.4572787	0.0	0.0	0.0	3360	tags=80%, list=22%, signal=102%	
AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME%R-HSA-174084.2	AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME%R-HSA-174084.2		62	-0.736051	-2.4528415	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=60%	
DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.3	DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.3		92	-0.6989857	-2.4496706	0.0	0.0	0.0	2113	tags=50%, list=14%, signal=58%	
POSITIVE REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000060	POSITIVE REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000060		82	-0.7158113	-2.4459076	0.0	0.0	0.0	2113	tags=48%, list=14%, signal=55%	
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4	ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4		80	-0.72648317	-2.443776	0.0	0.0	0.0	2113	tags=51%, list=14%, signal=59%	
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 61%179419	APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 61%179419		70	-0.7415517	-2.4387608	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=63%	
REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904666	REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904666		87	-0.7097046	-2.437637	0.0	0.0	0.0	2113	tags=47%, list=14%, signal=54%	
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 61%68867	ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 61%68867		60	-0.75912416	-2.4353373	0.0	0.0	0.0	2113	tags=62%, list=14%, signal=71%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119		74	-0.72089684	-2.4312298	0.0	0.0	0.0	2991	tags=73%, list=20%, signal=90%	
ORC1 REMOVAL FROM CHROMATIN%REACTOME%R-HSA-68949.2	ORC1 REMOVAL FROM CHROMATIN%REACTOME%R-HSA-68949.2		63	-0.7426459	-2.4246233	0.0	0.0	0.0	2113	tags=59%, list=14%, signal=68%	
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 61%69052	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 61%69052		63	-0.7426459	-2.4194934	0.0	0.0	0.0	2113	tags=59%, list=14%, signal=68%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607		72	-0.7263906	-2.4186888	0.0	0.0	0.0	1540	tags=47%, list=10%, signal=52%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882		185	-0.6256424	-2.4180574	0.0	0.0	0.0	1752	tags=37%, list=12%, signal=42%	
CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.2	CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.2		69	-0.73933655	-2.4044511	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=62%	
CELLULAR RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0071346	CELLULAR RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0071346		98	-0.67895615	-2.3995924	0.0	0.0	0.0	1192	tags=42%, list=8%, signal=45%	
CELLULAR PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043624	CELLULAR PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043624		117	-0.6660883	-2.398994	0.0	0.0	0.0	2781	tags=62%, list=18%, signal=76%	
RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341		111	-0.6583189	-2.396299	0.0	0.0	0.0	1192	tags=40%, list=8%, signal=43%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0002474	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0002474		89	-0.6818351	-2.3936293	0.0	0.0	0.0	2155	tags=51%, list=14%, signal=59%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775		69	-0.71187323	-2.3910275	0.0	0.0	0.0	2991	tags=71%, list=20%, signal=88%	
THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT%REACTOME%R-HSA-8852276.2	THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT%REACTOME%R-HSA-8852276.2		58	-0.7342029	-2.3898773	0.0	0.0	0.0	2113	tags=55%, list=14%, signal=64%	
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69580.2	P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69580.2		64	-0.72313493	-2.389403	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=60%	
TCR SIGNALING%REACTOME%R-HSA-202403.4	TCR SIGNALING%REACTOME%R-HSA-202403.4		112	-0.66044354	-2.3891387	0.0	0.0	0.0	3225	tags=62%, list=21%, signal=78%	
G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.2	G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.2		66	-0.7240854	-2.386531	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=60%	
METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 61%351202	METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 61%351202		77	-0.70891666	-2.3828623	0.0	0.0	0.0	3210	tags=60%, list=21%, signal=75%	
INTERLEUKIN-1 FAMILY SIGNALING%REACTOME%R-HSA-446652.5	INTERLEUKIN-1 FAMILY SIGNALING%REACTOME%R-HSA-446652.5		91	-0.69111353	-2.382322	0.0	0.0	0.0	2788	tags=49%, list=18%, signal=60%	
APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME DATABASE ID RELEASE 61%174154	APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME DATABASE ID RELEASE 61%174154		64	-0.74112713	-2.381623	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
STABILIZATION OF P53%REACTOME%R-HSA-69541.4	STABILIZATION OF P53%REACTOME%R-HSA-69541.4		55	-0.74048877	-2.378166	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
REGULATION OF CELLULAR AMINO ACID METABOLIC PROCESS%GOBP%GO:0006521	REGULATION OF CELLULAR AMINO ACID METABOLIC PROCESS%GOBP%GO:0006521		51	-0.7453824	-2.3737066	0.0	0.0	0.0	2113	tags=55%, list=14%, signal=64%	
MITOTIC G1-G1 S PHASES%REACTOME DATABASE ID RELEASE 61%453279	MITOTIC G1-G1 S PHASES%REACTOME DATABASE ID RELEASE 61%453279		138	-0.6418028	-2.3716836	0.0	0.0	0.0	2495	tags=51%, list=16%, signal=61%	
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1	ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1		65	-0.70812523	-2.3686876	0.0	0.0	0.0	2113	tags=49%, list=14%, signal=57%	
VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%R-HSA-180585.1	VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%R-HSA-180585.1		51	-0.7438727	-2.3653264	0.0	0.0	0.0	2997	tags=69%, list=20%, signal=85%	
CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX%REACTOME DATABASE ID RELEASE 61%68827	CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX%REACTOME DATABASE ID RELEASE 61%68827		51	-0.7464192	-2.3634498	0.0	0.0	0.0	2113	tags=57%, list=14%, signal=66%	
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY%GOBP%GO:0051444	NEGATIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY%GOBP%GO:0051444		81	-0.6867559	-2.3610065	0.0	0.0	0.0	2113	tags=48%, list=14%, signal=56%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981		50	-0.7485185	-2.3608391	0.0	0.0	0.0	3360	tags=84%, list=22%, signal=107%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900		80	-0.68325925	-2.3571048	0.0	0.0	0.0	2991	tags=68%, list=20%, signal=84%	
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851		149	-0.6262002	-2.353731	0.0	0.0	0.0	2193	tags=47%, list=14%, signal=54%	
DEFECTIVE CFTR CAUSES CYSTIC FIBROSIS%REACTOME%R-HSA-5678895.2	DEFECTIVE CFTR CAUSES CYSTIC FIBROSIS%REACTOME%R-HSA-5678895.2		59	-0.725991	-2.3509483	0.0	0.0	0.0	2788	tags=56%, list=18%, signal=68%	
FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 61%2871837	FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 61%2871837		76	-0.6809911	-2.3477783	0.0	0.0	0.0	3179	tags=55%, list=21%, signal=70%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773		69	-0.71187323	-2.3454847	0.0	0.0	0.0	2991	tags=71%, list=20%, signal=88%	
