GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048015	phosphatidylinositol-mediated signaling	1.3927756270433424e-11	1.3927756270433424e-11	+1	PIK3CA,PTEN,EGFR,NF1,PIK3R1,GATA3,FLT3,AKT1,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0048017	inositol lipid-mediated signaling	1.617000911173718e-11	1.617000911173718e-11	+1	PIK3CA,PTEN,EGFR,NF1,PIK3R1,GATA3,FLT3,AKT1,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0051348	negative regulation of transferase activity	2.5424100329009544e-11	2.5424100329009544e-11	+1	TP53,PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,EIF4A2,MAPK8IP1,RPL5
GO:0007062	sister chromatid cohesion	9.360409384022953e-11	9.360409384022953e-11	+1	RB1,FBXW7,CTNNB1,CTCF,STAG2,ATRX,SMC1A,SMC3,AXIN2,RAD21
GO:0007050	cell cycle arrest	1.405384862397815e-10	1.405384862397815e-10	+1	TP53,APC,CDKN2A,RB1,NOTCH1,STK11,ATM,CDKN1B,MTOR,BRCA1,CHEK2,EP300,CCND1,CDKN1A
GO:0045926	negative regulation of growth	2.2244041861915033e-10	2.2244041861915033e-10	+1	TP53,PTEN,CDKN2A,RB1,NOTCH1,STK11,CDKN1B,WT1,SMAD4,FGFR3,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
GO:0001558	regulation of cell growth	2.5754434175089886e-10	2.5754434175089886e-10	+1	TP53,EGFR,CDKN2A,RB1,BAP1,STK11,AKT1,CDKN1B,WT1,MTOR,SMAD4,SOX17,CDKN1A,PPP2R1A,SIN3A,ACVR1B,H3F3C
GO:0045787	positive regulation of cell cycle	4.4982623021298323e-10	4.4982623021298323e-10	+1	TP53,EGFR,RB1,NPM1,TBX3,AKT1,ATM,CDKN1B,ATRX,BRCA1,FOXA1,CHEK2,EP300,FGFR2,CCND1,CDKN1A
GO:0044843	cell cycle G1/S phase transition	6.144338335294941e-10	6.144338335294941e-10	+1	TP53,PTEN,EGFR,CDKN2A,RB1,FBXW7,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,TAF1,ACVR1B,CDKN2C,EZH2
GO:2000045	regulation of G1/S transition of mitotic cell cycle	1.1562195397552701e-9	1.1562195397552701e-9	+1	TP53,PTEN,EGFR,CDKN2A,RB1,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	1.331378071340041e-9	1.331378071340041e-9	+1	PIK3CA,PTEN,EGFR,PIK3R1,FLT3,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0033673	negative regulation of kinase activity	1.8110801250618309e-9	1.8110801250618309e-9	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,MAPK8IP1
GO:0051052	regulation of DNA metabolic process	2.269237279997249e-9	2.269237279997249e-9	+1	TP53,EGFR,CDKN2A,NPM1,AKT1,ATM,WT1,HGF,ATRX,BRCA1,POLQ,SETD2,USP9X,CDKN1A,ATR,AXIN2,ERCC2
GO:0030879	mammary gland development	2.318695200883096e-9	2.318695200883096e-9	+1	GATA3,ARHGAP35,TBX3,AKT1,ERBB4,ELF3,FGFR2,BRCA2
GO:0051896	regulation of protein kinase B signaling	3.080231004614727e-9	3.080231004614727e-9	+1	PIK3CA,PTEN,EGFR,PIK3R1,GATA3,AKT1,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3
GO:0071214	cellular response to abiotic stimulus	3.112951911305523e-9	3.112951911305523e-9	+1	TP53,PTEN,GATA3,MAP3K1,NPM1,MAP2K4,STK11,SOX9,ATM,TLR4,EP300,CDKN1A,TAF1,ATR
GO:0104004	cellular response to environmental stimulus	3.112951911305523e-9	3.112951911305523e-9	+1	TP53,PTEN,GATA3,MAP3K1,NPM1,MAP2K4,STK11,SOX9,ATM,TLR4,EP300,CDKN1A,TAF1,ATR
GO:0043491	protein kinase B signaling	6.648753038947542e-9	6.648753038947542e-9	+1	PIK3CA,PTEN,EGFR,PIK3R1,GATA3,AKT1,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3
GO:0006469	negative regulation of protein kinase activity	8.004102514661629e-9	8.004102514661629e-9	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,CDKN1A,PPP2R1A,MAPK8IP1
GO:0051897	positive regulation of protein kinase B signaling	8.816098453840313e-9	8.816098453840313e-9	+1	PIK3CA,EGFR,PIK3R1,GATA3,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1.0986139550106932e-8	1.0986139550106932e-8	+1	TP53,PTEN,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:1902807	negative regulation of cell cycle G1/S phase transition	1.6584675575316026e-8	1.6584675575316026e-8	+1	TP53,PTEN,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1.736302969513798e-8	1.736302969513798e-8	+1	PTEN,APC,EGFR,CDKN2A,CEBPA,AKT1,CDKN1B,CCND1,CDKN1A,CDKN2C
GO:0030308	negative regulation of cell growth	1.766450252757239e-8	1.766450252757239e-8	+1	TP53,CDKN2A,RB1,STK11,CDKN1B,WT1,SMAD4,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
GO:0090068	positive regulation of cell cycle process	1.786729338405806e-8	1.786729338405806e-8	+1	TP53,EGFR,RB1,NPM1,AKT1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CCND1,CDKN1A,RAD21,EZH2
GO:0009314	response to radiation	2.2402981825463398e-8	2.2402981825463398e-8	+1	TP53,EGFR,NF1,GATA3,NPM1,STK11,AKT1,ATM,BRCA1,EP300,CCND1,CDKN1A,TAF1,ATR,SMC1A
GO:0010718	positive regulation of epithelial to mesenchymal transition	2.5503068220129455e-8	2.5503068220129455e-8	+1	NOTCH1,CTNNB1,MTOR,SMAD4,TGFBR2,SMAD2,AXIN2,EZH2
GO:1904029	regulation of cyclin-dependent protein kinase activity	2.6312004408431047e-8	2.6312004408431047e-8	+1	PTEN,APC,EGFR,CDKN2A,CEBPA,AKT1,CDKN1B,CCND1,CDKN1A,CDKN2C
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	3.0275098077035525e-8	3.0275098077035525e-8	+1	PIK3CA,PIK3R1,FLT3,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0009411	response to UV	4.481542898805568e-8	4.481542898805568e-8	+1	TP53,EGFR,NPM1,STK11,AKT1,EP300,CCND1,CDKN1A,TAF1,ATR,ERCC2
GO:0007059	chromosome segregation	4.548424240507403e-8	4.548424240507403e-8	+1	APC,RB1,FBXW7,CTNNB1,CTCF,STAG2,ATM,ATRX,BRCA1,PPP2R1A,SMC1A,SMC3,AXIN2,RAD21,ERCC2
GO:0031647	regulation of protein stability	4.548424240507403e-8	4.548424240507403e-8	+1	PTEN,VHL,KRAS,PIK3R1,CDKN2A,FBXW7,LRRK2,CHEK2,EP300,USP9X,SOX17,CDKN1A,TAF1
GO:0010948	negative regulation of cell cycle process	5.765992139212253e-8	5.765992139212253e-8	+1	TP53,PTEN,APC,CDKN2A,RB1,NPM1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CCND1,CDKN1A
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	5.8625484591748234e-8	5.8625484591748234e-8	+1	PTEN,APC,CDKN2A,CEBPA,CDKN1B,CDKN1A
GO:0050821	protein stabilization	5.961922757334251e-8	5.961922757334251e-8	+1	PTEN,VHL,PIK3R1,CDKN2A,FBXW7,CHEK2,EP300,USP9X,SOX17,CDKN1A,TAF1,RPL5
GO:0090399	replicative senescence	7.300135571293597e-8	7.300135571293597e-8	+1	TP53,CDKN2A,ATM,CHEK2,ATR
GO:0071901	negative regulation of protein serine/threonine kinase activity	7.929967642800489e-8	7.929967642800489e-8	+1	PTEN,APC,NF1,CDKN2A,RB1,CEBPA,AKT1,CDKN1B
GO:0000082	G1/S transition of mitotic cell cycle	1.0000457721408886e-7	1.0000457721408886e-7	+1	TP53,PTEN,EGFR,CDKN2A,RB1,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,ACVR1B,CDKN2C
GO:0007063	regulation of sister chromatid cohesion	1.0877625036683107e-7	1.0877625036683107e-7	+1	RB1,CTNNB1,CTCF,ATRX,AXIN2,RAD21
GO:0000819	sister chromatid segregation	1.138471849009864e-7	1.138471849009864e-7	+1	APC,RB1,FBXW7,CTNNB1,CTCF,STAG2,ATM,ATRX,SMC1A,SMC3,AXIN2,RAD21
GO:0030330	DNA damage response, signal transduction by p53 class mediator	1.1994317944613735e-7	1.1994317944613735e-7	+1	TP53,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CDKN1A,ATR
GO:2000677	regulation of transcription regulatory region DNA binding	1.2452608290405393e-7	1.2452608290405393e-7	+1	GATA3,RB1,CTNNB1,EP300,TAF1,SIN3A,NSD1
GO:0018108	peptidyl-tyrosine phosphorylation	1.3789553571401226e-7	1.3789553571401226e-7	+1	TP53,EGFR,FBXW7,FLT3,EPHA3,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PPP2R1A,PTPN11
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	1.5111067479382802e-7	1.5111067479382802e-7	+1	PTEN,APC,CDKN2A,CEBPA,CDKN1B
GO:0018212	peptidyl-tyrosine modification	1.5446611421846096e-7	1.5446611421846096e-7	+1	TP53,EGFR,FBXW7,FLT3,EPHA3,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PPP2R1A,PTPN11
GO:1901988	negative regulation of cell cycle phase transition	1.6293062368116929e-7	1.6293062368116929e-7	+1	TP53,PTEN,APC,CDKN2A,RB1,ATM,CDKN1B,BRCA1,CHEK2,EP300,CCND1,CDKN1A
GO:0034968	histone lysine methylation	1.659917296372389e-7	1.659917296372389e-7	+1	CTNNB1,KDM6A,TET2,ATRX,BRCA1,SETD2,SMAD4,NSD1,EZH2
GO:0070371	ERK1 and ERK2 cascade	1.7305922182239334e-7	1.7305922182239334e-7	+1	PTEN,EGFR,NOTCH1,FBXW7,BRAF,SOX9,ERBB4,TLR4,PDGFRA,FGFR2,SMAD4,FGFR3
GO:0048589	developmental growth	1.7308136448417365e-7	1.7308136448417365e-7	+1	PTEN,NOTCH1,CTNNB1,EPPK1,SOX9,CDKN1B,WT1,ERBB4,FGFR2,USP9X,FGFR3,CDKN1A,SIN3A
GO:0030520	intracellular estrogen receptor signaling pathway	1.743456583234956e-7	1.743456583234956e-7	+1	ARID1A,RUNX1,CRIPAK,AR,BRCA1,FOXA1,CBFB
GO:0110110	positive regulation of animal organ morphogenesis	1.7662481889040872e-7	1.7662481889040872e-7	+1	GATA3,NOTCH1,SOX9,WT1,FGFR2,SMAD4,TGFBR2
GO:0045930	negative regulation of mitotic cell cycle	1.950916040851945e-7	1.950916040851945e-7	+1	TP53,PTEN,APC,CDKN2A,RB1,CTNNB1,ATM,CDKN1B,ATRX,CHEK2,EP300,CCND1,CDKN1A
GO:0006338	chromatin remodeling	2.2888774982068318e-7	2.2888774982068318e-7	+1	ARID1A,PBRM1,CDKN2A,RB1,NPM1,KDM6A,SOX9,KDM5C,ATRX,FOXA1
GO:0072331	signal transduction by p53 class mediator	2.574091253238764e-7	2.574091253238764e-7	+1	TP53,STK11,AKT1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CDKN1A,TAF1,ATR
GO:0002009	morphogenesis of an epithelium	2.805617683205478e-7	2.805617683205478e-7	+1	PTEN,GATA3,NOTCH1,CTNNB1,ARHGAP35,TBX3,SOX9,WT1,HGF,MTOR,FGFR2,TGFBR2,SOX17
GO:0048863	stem cell differentiation	2.807957732320787e-7	2.807957732320787e-7	+1	TP53,GATA3,NOTCH1,RUNX1,SOX9,ERBB4,KIT,SETD2,PDGFRA,FGFR2,CBFB
GO:0000075	cell cycle checkpoint	3.2694607598547027e-7	3.2694607598547027e-7	+1	TP53,APC,RB1,ATM,CDKN1B,BRCA1,CHEK2,EP300,CCND1,CDKN1A,ATR
GO:2000027	regulation of animal organ morphogenesis	3.4603792361764465e-7	3.4603792361764465e-7	+1	GATA3,NOTCH1,FBXW7,CTNNB1,SOX9,WT1,HGF,FGFR2,SMAD4,TGFBR2
GO:0038127	ERBB signaling pathway	3.485504685543648e-7	3.485504685543648e-7	+1	PIK3CA,EGFR,PIK3R1,FBXW7,AKT1,BRAF,SOX9,ERBB4
GO:0016579	protein deubiquitination	3.7354909849442326e-7	3.7354909849442326e-7	+1	TP53,PTEN,APC,GATA3,KEAP1,BAP1,AR,BRCA1,EP300,SMAD4,USP9X,ASXL1
GO:0007568	aging	3.9003636062103815e-7	3.9003636062103815e-7	+1	TP53,CDKN2A,NPM1,TBX3,ATM,LRRK2,CHEK2,CDKN1A,ATR
GO:0007569	cell aging	4.504542940221949e-7	4.504542940221949e-7	+1	TP53,CDKN2A,NPM1,TBX3,ATM,CHEK2,CDKN1A,ATR
GO:0062197	cellular response to chemical stress	4.794392670495477e-7	4.794392670495477e-7	+1	TP53,EGFR,FBXW7,KEAP1,NFE2L2,AKT1,ATM,HGF,TLR4,LRRK2,PDGFRA
GO:0030518	intracellular steroid hormone receptor signaling pathway	4.884089970314316e-7	4.884089970314316e-7	+1	ARID1A,RUNX1,CRIPAK,AR,BRCA1,FOXA1,EP300,CBFB,NCOR1
GO:0031571	mitotic G1 DNA damage checkpoint	5.75479182773967e-7	5.75479182773967e-7	+1	TP53,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:1903829	positive regulation of cellular protein localization	5.810576902916729e-7	5.810576902916729e-7	+1	TP53,APC,EGFR,PIK3R1,FBXW7,CDH1,BAP1,EPHA3,AKT1
GO:0007265	Ras protein signal transduction	5.958797979131451e-7	5.958797979131451e-7	+1	TP53,KRAS,NF1,CDKN2A,RB1,NOTCH1,ARHGAP35,NRAS
GO:0044783	G1 DNA damage checkpoint	6.347289290666911e-7	6.347289290666911e-7	+1	TP53,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:0044819	mitotic G1/S transition checkpoint	6.347289290666911e-7	6.347289290666911e-7	+1	TP53,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:0042770	signal transduction in response to DNA damage	6.472168946104954e-7	6.472168946104954e-7	+1	TP53,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CDKN1A,ATR
GO:0043401	steroid hormone mediated signaling pathway	6.575078428430102e-7	6.575078428430102e-7	+1	ARID1A,RUNX1,CRIPAK,AR,BRCA1,FOXA1,EP300,CBFB,NCOR1
GO:1901991	negative regulation of mitotic cell cycle phase transition	6.809516406785942e-7	6.809516406785942e-7	+1	TP53,PTEN,APC,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:0070646	protein modification by small protein removal	6.809516406785942e-7	6.809516406785942e-7	+1	TP53,PTEN,APC,GATA3,KEAP1,BAP1,AR,BRCA1,EP300,SMAD4,USP9X,ASXL1
GO:0097193	intrinsic apoptotic signaling pathway	7.05920269148199e-7	7.05920269148199e-7	+1	TP53,FBXW7,NFE2L2,STK11,AKT1,ATM,BRCA1,LRRK2,CHEK2,EP300,CDKN1A
GO:0018022	peptidyl-lysine methylation	7.505431916308479e-7	7.505431916308479e-7	+1	CTNNB1,KDM6A,TET2,ATRX,BRCA1,SETD2,SMAD4,NSD1,EZH2
GO:0070372	regulation of ERK1 and ERK2 cascade	7.505431916308479e-7	7.505431916308479e-7	+1	PTEN,EGFR,NOTCH1,FBXW7,BRAF,ERBB4,TLR4,PDGFRA,FGFR2,SMAD4,FGFR3,PTPN11
GO:0043276	anoikis	7.621168689448797e-7	7.621168689448797e-7	+1	PIK3CA,NOTCH1,STK11,AKT1,MTOR
GO:0007173	epidermal growth factor receptor signaling pathway	7.740040886633464e-7	7.740040886633464e-7	+1	PIK3CA,EGFR,PIK3R1,FBXW7,AKT1,BRAF,SOX9
GO:0016571	histone methylation	0.0000010505263565240341	0.0000010505263565240341	+1	CTNNB1,KDM6A,TET2,ATRX,BRCA1,SETD2,SMAD4,NSD1,EZH2
GO:0071156	regulation of cell cycle arrest	0.0000011038856988692345	0.0000011038856988692345	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CCND1,CDKN1A
GO:0048568	embryonic organ development	0.0000011806262950708661	0.0000011806262950708661	+1	GATA3,NOTCH1,CTNNB1,TBX3,SOX9,KIT,PDGFRA,FGFR2,TGFBR2,SOX17
GO:0001822	kidney development	0.0000011806262950708661	0.0000011806262950708661	+1	NF1,GATA3,CTNNB1,SOX9,WT1,LRRK2,PDGFRA,FGFR2,SOX17
GO:0033045	regulation of sister chromatid segregation	0.0000011806262950708661	0.0000011806262950708661	+1	APC,RB1,CTNNB1,CTCF,ATM,ATRX,AXIN2,RAD21
GO:0000077	DNA damage checkpoint	0.0000012588848358901224	0.0000012588848358901224	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CCND1,CDKN1A,ATR
GO:0048638	regulation of developmental growth	0.0000012808879040690798	0.0000012808879040690798	+1	PTEN,NOTCH1,EPPK1,CDKN1B,WT1,ERBB4,FGFR2,FGFR3,CDKN1A,SIN3A
GO:0009416	response to light stimulus	0.0000012853531316256077	0.0000012853531316256077	+1	TP53,EGFR,NF1,NPM1,STK11,AKT1,EP300,CCND1,CDKN1A,TAF1,ATR
GO:0034599	cellular response to oxidative stress	0.0000013324473350057431	0.0000013324473350057431	+1	TP53,EGFR,FBXW7,KEAP1,NFE2L2,AKT1,HGF,TLR4,LRRK2,PDGFRA
GO:0030099	myeloid cell differentiation	0.0000014290289952480661	0.0000014290289952480661	+1	FBXW7,RUNX1,CEBPA,MTOR,TLR4,TET2,KIT,EP300,TGFBR2,CBFB,SIN3A,ACVR1B,ACVR2A
GO:0072422	signal transduction involved in DNA damage checkpoint	0.0000014837613426767902	0.0000014837613426767902	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CDKN1A
GO:0072401	signal transduction involved in DNA integrity checkpoint	0.0000014837613426767902	0.0000014837613426767902	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CDKN1A
GO:0051091	positive regulation of DNA-binding transcription factor activity	0.0000014923683549916033	0.0000014923683549916033	+1	PTEN,CTNNB1,NPM1,AKT1,AR,TLR4,ARID5B,FOXA1,KIT,EP300,TAF1
GO:0072001	renal system development	0.0000015127402410046342	0.0000015127402410046342	+1	NF1,GATA3,CTNNB1,SOX9,WT1,LRRK2,PDGFRA,FGFR2,SOX17
GO:0043550	regulation of lipid kinase activity	0.0000015482620081998774	0.0000015482620081998774	+1	PIK3R1,RB1,FLT3,KIT,PDGFRA,FGFR3
GO:0072395	signal transduction involved in cell cycle checkpoint	0.000001611439061634766	0.000001611439061634766	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CDKN1A
GO:0034502	protein localization to chromosome	0.000001660699826709338	0.000001660699826709338	+1	RB1,CTCF,ATM,ATRX,SETD2,BRCA2,ATR,RAD21
GO:0003179	heart valve morphogenesis	0.0000017493073380858039	0.0000017493073380858039	+1	GATA3,RB1,NOTCH1,SOX9,SMAD4,TGFBR2
GO:0001763	morphogenesis of a branching structure	0.000001790069262010472	0.000001790069262010472	+1	CTNNB1,SOX9,WT1,HGF,LRRK2,FGFR2,TGFBR2
GO:0098813	nuclear chromosome segregation	0.0000018580588248388737	0.0000018580588248388737	+1	APC,RB1,FBXW7,CTNNB1,CTCF,STAG2,ATM,ATRX,SMC1A,SMC3,AXIN2,RAD21
GO:0071496	cellular response to external stimulus	0.0000018660286753466156	0.0000018660286753466156	+1	TP53,MAP3K1,ARHGAP35,MAP2K4,SOX9,MTOR,TLR4,LRRK2,FOXA2,CDKN1A
GO:0043405	regulation of MAP kinase activity	0.0000019044458166960511	0.0000019044458166960511	+1	EGFR,NF1,FLT3,MAP2K4,BRAF,PIK3CG,TLR4,LRRK2,KIT,PPP2R1A,CDK12,MAPK8IP1,EZH2
GO:0048511	rhythmic process	0.0000019091488643074707	0.0000019091488643074707	+1	TP53,PTEN,FBXW7,MTOR,PDGFRA,EP300,USP9X,SIN3A,EGR3,NCOR1,EZH2
GO:0007093	mitotic cell cycle checkpoint	0.000002111216122114478	0.000002111216122114478	+1	TP53,APC,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A
GO:0031570	DNA integrity checkpoint	0.000002123096151580348	0.000002123096151580348	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CCND1,CDKN1A,ATR
GO:0042176	regulation of protein catabolic process	0.000002123096151580348	0.000002123096151580348	+1	PTEN,APC,EGFR,CDKN2A,FBXW7,KEAP1,NFE2L2,CEBPA,CDKN1B,LRRK2,CHEK2
GO:0050678	regulation of epithelial cell proliferation	0.000002197801413206405	0.000002197801413206405	+1	EGFR,NF1,GATA3,FBXW7,NRAS,AKT1,EPPK1,SOX9,TLR4,FGFR2,BRCA2
GO:0001656	metanephros development	0.0000023583777140886754	0.0000023583777140886754	+1	NF1,GATA3,SOX9,WT1,PDGFRA,SOX17
GO:0001501	skeletal system development	0.0000023662449855498514	0.0000023662449855498514	+1	TP53,FBXW7,CTNNB1,RUNX1,TBX3,SOX9,KIT,PDGFRA,FGFR2,FGFR3,TGFBR2,PTPN11
GO:0071158	positive regulation of cell cycle arrest	0.0000024225712218432836	0.0000024225712218432836	+1	TP53,ATM,CDKN1B,BRCA1,CHEK2,EP300,CDKN1A
GO:0001655	urogenital system development	0.0000024327827068678754	0.0000024327827068678754	+1	NF1,GATA3,CTNNB1,SOX9,WT1,LRRK2,PDGFRA,FGFR2,SOX17
GO:0061180	mammary gland epithelium development	0.0000024327827068678754	0.0000024327827068678754	+1	GATA3,AKT1,ERBB4,FGFR2,BRCA2
GO:0060562	epithelial tube morphogenesis	0.0000024327827068678754	0.0000024327827068678754	+1	GATA3,NOTCH1,CTNNB1,TBX3,SOX9,WT1,FGFR2,TGFBR2,SOX17
GO:0035265	organ growth	0.0000026530474192193354	0.0000026530474192193354	+1	PTEN,NOTCH1,SOX9,WT1,ERBB4,FGFR2,FGFR3
GO:1903201	regulation of oxidative stress-induced cell death	0.000003009497936009472	0.000003009497936009472	+1	FBXW7,NFE2L2,AKT1,HGF,TLR4,LRRK2
GO:0003170	heart valve development	0.0000030832703445279562	0.0000030832703445279562	+1	GATA3,RB1,NOTCH1,SOX9,SMAD4,TGFBR2
GO:0003007	heart morphogenesis	0.0000030865879281967904	0.0000030865879281967904	+1	GATA3,NOTCH1,CTNNB1,TBX3,SOX9,FGFR2,SMAD4,TGFBR2,SOX17
GO:1901796	regulation of signal transduction by p53 class mediator	0.0000031749948536088735	0.0000031749948536088735	+1	TP53,STK11,AKT1,ATM,BRCA1,CHEK2,EP300,TAF1,ATR,RPL5
GO:0022612	gland morphogenesis	0.0000033283942155028213	0.0000033283942155028213	+1	FBXW7,SOX9,HGF,ELF3,FGFR2
GO:0034644	cellular response to UV	0.000003350654070480396	0.000003350654070480396	+1	TP53,NPM1,STK11,EP300,CDKN1A,TAF1,ATR
GO:0071478	cellular response to radiation	0.0000035152157656161713	0.0000035152157656161713	+1	TP53,GATA3,NPM1,STK11,ATM,EP300,CDKN1A,TAF1,ATR
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	0.0000036299495661548908	0.0000036299495661548908	+1	RUNX1,CRIPAK,BRCA1,FOXA1,EP300,CBFB,NCOR1
GO:0071383	cellular response to steroid hormone stimulus	0.0000036487993973807273	0.0000036487993973807273	+1	ARID1A,RUNX1,CRIPAK,AR,BRCA1,FOXA1,EP300,CBFB,NCOR1
GO:0033044	regulation of chromosome organization	0.000003987739863714246	0.000003987739863714246	+1	APC,RB1,CTNNB1,CTCF,ATM,ATRX,BRCA1,SMAD4,ATR,SIN3A,NSD1,AXIN2,RAD21
GO:0071902	positive regulation of protein serine/threonine kinase activity	0.0000043306687503502255	0.0000043306687503502255	+1	EGFR,FLT3,MAP2K4,AKT1,BRAF,PIK3CG,TLR4,LRRK2,KIT,CCND1
GO:2000058	regulation of ubiquitin-dependent protein catabolic process	0.000004399141996915397	0.000004399141996915397	+1	PTEN,CDKN2A,FBXW7,KEAP1,NFE2L2,CEBPA,LRRK2,TAF1,RPL5
GO:0003151	outflow tract morphogenesis	0.0000049740714533596155	0.0000049740714533596155	+1	NOTCH1,CTNNB1,FGFR2,SMAD4,TGFBR2,SOX17
